SCCS_ID,language_family,G1_Associated,G2_Harm,G3_Help,G4_Punitive,SG1_Associated,SG2_Harm,SG3_Help,SG4_Punitive,MS1_Associated,MS2_Harm,MS3_Help,MS4_Punitive,Social_Complexity,ResourceStress,Stress
1,Khoe-Kwadi,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,18,1,NA
1,Khoe-Kwadi,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,18,2,-0.545126265
1,Khoe-Kwadi,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,18,3,NA
1,Khoe-Kwadi,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,18,4,-1.110426279
2,Kxa,1,NA,1,1,1,NA,NA,1,1,NA,NA,0,12,1,NA
2,Kxa,1,NA,1,1,1,NA,NA,1,1,NA,NA,0,12,2,1.165442359
2,Kxa,1,NA,1,1,1,NA,NA,1,1,NA,NA,0,12,3,1.353222151
2,Kxa,1,NA,1,1,1,NA,NA,1,1,NA,NA,0,12,4,-0.423591805
3,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA
3,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,NA
3,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3,NA
3,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4,1.022428020
4,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA
4,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,NA
4,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3,NA
4,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4,0.306044252
5,Atlantic-Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,NA
