;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
Arapesh;4;1;0;0;0;2;2;X;0;0;1;2;9;9;0;3;1;0;0;1;1;0;0;2;0;0;0;0;3;0;1;0;0;1;0;1;0;0;1
Arunta;6;1;0;0;0;0;0;0;0;0;5;2;9;9;0;X;0;0;0;0;3;0;1;2;0;0;0;0;1;1;0;1;0;0;0;2;0;0;0
Aymara;5;1;1;1;0;2;Y;Y;1;0;7;3;0;X;0;X;1;1;1;0;0;0;0;2;4;5;5;2;2;0;0;0;0;0;0;2;0;0;1
Azande;5;2;2;3;0;0;2;1;0;0;7;4;4;X;5;X;3;3;0;0;0;0;1;1;3;0;0;0;0;2;0;1;0;0;0;2;1;0;1
Aztec;5;2;1;3;3;1;2;X;1;3;9;3;3;7;4;7;6;6;1;1;1;0;0;0;2;4;2;1;0;0;0;0;0;0;1;1;0;1;1
Bemba;5;2;1;3;1;2;Y;Y;0;3;6;4;4;X;5;8;3;3;1;Y;1;1;0;1;2;1;1;0;3;0;0;0;0;0;0;1;0;0;0
Blackfoot;6;3;1;2;0;2;0;2;1;0;7;3;4;X;4;X;2;2;0;0;0;0;0;0;4;1;1;6;0;0;0;0;1;0;0;1;1;0;1
Carib;7;2;1;0;1;2;0;0;0;0;3;3;1;X;1;X;0;0;0;0;0;2;0;0;1;1;1;5;1;0;0;0;0;0;0;0;0;0;0
Carrier;6;1;1;1;0;Y;Y;Y;0;0;4;3;4;6;4;6;1;1;1;1;0;1;0;2;1;0;0;0;1;1;0;0;0;0;0;X;0;0;0
Cuna;5;Y;0;1;1;2;2;Y;1;3;7;3;4;X;4;X;2;2;1;0;1;1;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;1;1
Dobuans;4;1;1;0;1;2;2;2;Y;0;1;2;9;9;1;8;0;0;1;Y;0;1;1;2;0;1;1;3;1;0;0;1;0;0;0;2;0;0;1
Egyptians;5;2;0;3;3;2;2;X;1;3;9;5;Y;Y;5;X;6;6;Y;0;Y;0;Y;1;3;9;Y;Y;Y;0;0;0;0;0;0;1;1;1;1
Eskimo;6;0;1;0;1;0;0;0;0;0;2;2;9;9;1;X;0;0;0;0;0;0;0;0;0;3;0;5;2;0;1;0;0;0;0;1;1;0;1
Ga;5;2;1;2;2;1;2;2;1;0;9;2;9;9;3;X;4;3;1;0;0;0;0;0;0;3;0;1;3;1;0;0;0;0;1;0;1;1;1
Ganda;9;2;1;3;0;1;2;1;1;3;9;6;4;5;5;X;6;6;2;0;0;0;0;1;1;9;6;4;3;1;1;0;0;0;1;2;0;1;1
Hottentot;2;1;1;1;1;2;1;1;1;0;5;2;9;9;4;7;0;0;1;1;0;0;1;2;0;3;3;1;3;0;1;0;0;0;0;2;0;0;1
Iban;5;2;0;1;1;2;2;Y;1;0;3;2;9;9;1;X;0;0;0;0;1;2;0;0;0;3;3;0;0;0;0;0;0;1;0;1;1;1;1
Ifaluk;9;1;0;1;0;0;0;Y;0;3;3;3;4;7;4;7;1;1;1;1;1;1;0;0;1;7;5;0;2;0;0;0;0;0;0;0;0;0;0
Ifugao;5;Y;2;1;0;2;2;2;1;0;3;2;9;9;0;4;2;1;0;1;0;0;1;2;0;6;6;1;2;0;0;0;0;1;0;1;1;0;1
Iroquois;5;3;1;3;2;0;0;2;0;0;6;6;1;X;5;7;2;2;2;1;1;1;0;0;2;5;5;0;1;0;1;1;1;0;0;1;0;0;X
Israelites;5;2;1;2;2;2;2;2;1;3;4;4;2;X;4;8;2;2;1;Y;0;0;1;0;3;Y;Y;Y;2;0;0;0;0;0;0;0;1;X;1
Karen;5;Y;2;1;1;2;Y;X;1;0;3;2;9;9;1;X;0;0;0;0;0;0;0;0;4;9;9;2;2;1;0;0;1;0;0;1;0;1;1
Kaska;1;0;1;0;0;2;2;2;1;0;3;2;9;9;0;1;1;1;0;1;1;1;0;2;0;0;0;0;2;1;0;0;1;0;0;1;1;0;1
Lengua;4;1;1;0;1;0;Y;X;0;0;2;2;9;9;1;5;0;0;Y;1;0;Y;0;2;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0
Lepcha;8;Y;1;0;0;2;2;2;1;1;Y;3;0;8;0;8;0;0;1;Y;0;0;1;0;4;3;3;0;0;1;1;0;0;0;0;0;1;1;1
Lozi;5;3;0;3;1;2;0;1;0;3;9;5;2;X;5;X;2;1;0;0;X;0;0;1;1;0;0;0;3;0;1;0;0;0;0;2;0;0;0
Marquesans;9;0;2;2;2;1;2;Y;1;3;7;2;9;9;2;X;3;1;0;0;0;2;1;0;0;6;3;3;3;0;0;1;0;0;0;1;0;1;0
Miao;5;2;1;Y;0;2;0;X;1;3;3;3;0;8;0;8;1;1;1;Y;1;0;1;0;1;3;3;1;2;1;0;0;0;0;0;1;1;1;1
